3a,,9a,,18a,
X,Y,X,Y,X,Y
-6.00758771446317,0.002132196162047073,-6.007609224638828,-0.002132196162047073,-6.007609224638828,-0.002132196162046629
-4.978562421185369,0.006396588486140331,-5.624233363895705,0.002132196162047073,-4.272383354350565,0.006396588486140775
-4.0505274026194,-0.010660980810234921,-4.696112304627105,0.002132196162046629,-3.4048994802603785,-0.014925373134328623
-3.5260017692119465,-0.023454157782516027,-3.828585410185604,-0.010660980810234921,-2.840278879427397,-0.07889125799573637
-3.183172589583158,-0.05756929637526742,-3.1629530244651347,-0.049040511727080016,-2.4774022160858458,-0.13859275053304998
-2.931331452985477,-0.13006396588486258,-2.719606793988979,-0.1556503198294248,-2.2355418009932304,-0.18976545842217574
-2.780286999518708,-0.18550106609808248,-2.4881142835632666,-0.26226012793177045,-2.0340344754340336,-0.24093816631130105
-2.6393953489622675,-0.25373134328358304,-2.296953352495313,-0.36460554371002196,-1.8324841295235217,-0.2835820895522394
-2.397965137382802,-0.3901918976545846,-2.09566112869269,-0.45842217484008607,-1.590494653376961,-0.3091684434968025
-2.2369399624109665,-0.4669509594882739,-2.0050172484721047,-0.48827292110874243,-1.4592825818663826,-0.29637526652452095
-2.1160742853916323,-0.5053304904051181,-1.894067762430864,-0.49253731343283613,-1.3683590693622492,-0.27078891257995874
-1.9748599822003285,-0.5095948827292114,-1.8132970528370569,-0.479744136460555,-1.2166478004500982,-0.19402985074626988
-1.8333445365498209,-0.4541577825159906,-1.6514544911902371,-0.3944562899786792,-1.1153348731034054,-0.10874200426439318
-1.7320531193787847,-0.37313432835820715,-1.529728407144603,-0.2622601279317709,-1.0139143948784266,-0.0021321961620479613
-1.610197974279206,-0.21535181236673706,-1.4382671402490335,-0.13006396588486213,-0.9428232643304808,0.0916844349680157
-1.4065826515055777,0.15138592750532975,-1.3569156559124744,-0.0021321961620484053,-0.8616653715748397,0.1812366737739861
-1.4881062172473953,-0.010660980810235365,-1.3058074785503218,0.1300639658848599,-0.7395951247186856,0.38166311300639544
-1.3453001610574393,0.3006396588486133,-1.2445895186291551,0.26652452025586193,-0.6074581156548371,0.5778251599147106
-1.2534517110000332,0.5095948827292096,-1.1834145790593062,0.39445628997867654,-0.4957342632899264,0.7270788912579946
-1.171906635082557,0.6759061833688687,-1.1221966191381396,0.530916844349679,-0.404229976043041,0.8678038379530906
-1.1105811242831054,0.8336886993603398,-1.0710669316003294,0.667377398720681,-0.3230290629360848,0.9658848614072479
-1.0694751786016772,0.9829424307036236,-0.9997176789444939,0.8123667377398709,-0.23173987744577307,1.0639658848614055
-0.9981689462971568,1.1194029850746257,-0.9486740321093139,0.9317697228144977,-0.04976379138356002,1.1407249466950944
-0.9166023602040223,1.289978678038378,-0.8362403439477069,1.221748400852877,0.11151950569616531,1.1151385927505313
-0.8655587133688432,1.409381663113005,-0.7649771319945025,1.3496801705756916,0.21192900566524386,1.0213219616204676
-0.7943815421182663,1.520255863539444,-0.6023171836726995,1.5970149253731327,0.28205217830860185,0.9232409381663098
-0.7434884665126873,1.609808102345414,-0.460651166792589,1.682302771855009,0.36226362333531625,0.8251599147121518
-0.6724833766673735,1.6865671641791025,-0.3297402377412144,1.635394456289977,0.4720085395397362,0.5820895522388045
-0.5612542583425855,1.7377398720682287,-0.24946426218752915,1.5501066098081007,0.6018654699838937,0.32622601279317553
-0.3703514493825226,1.5842217484008512,-0.17953468112508908,1.4136460554370984,0.7015006036293041,0.07889125799573371
-0.3303640328352824,1.5117270788912562,-0.11971488262165941,1.2729211087420025,0.7912625666479371,-0.12579957356076932
-0.6117601507863304,1.7249466950959473,-0.06996184632592595,1.1364605543710002,0.8611276171834046,-0.2750533049040529
-0.5008321749207489,1.7164179104477595,-0.020165789678879165,1.0085287846481858,0.9309711575432154,-0.42857142857143016
-0.45051987405792016,1.6908315565031966,0.01947746405784123,0.8678038379530908,1.0308859234721712,-0.6204690831556516
-0.29037661628804123,1.4392324093816613,0.09880699188259712,0.5948827292110854,1.1007079536563271,-0.7782515991471226
-0.2504967506190878,1.3454157782515976,0.16804824732400014,0.32196162046908183,1.2109691140765282,-0.9189765458422192
-0.21059537477447954,1.2558635394456275,0.23737554346803158,0.06609808102345305,1.2611738640610675,-0.9658848614072513
-0.16097139953269046,1.0938166311300626,0.3066598192607497,-0.19829424307036358,1.3817814189725137,-1.0554371002132212
-0.0814697903026751,0.8550106609808088,0.38594632673419227,-0.47974413646055547,1.4825350817521112,-1.081023454157784
-0.012357595915217345,0.5565031982942417,0.46527585455894815,-0.75266524520256,1.5935706084959804,-1.0682302771855028
0.047182570304665106,0.36034115138592604,0.5547151649427153,-1.0213219616204707,1.745303387583789,-0.9872068230277202
0.14617239868035092,-0.014925373134329512,0.6542427477098389,-1.2899786780383806,1.917728955654086,-0.8038379530916862
0.19558127216556542,-0.21961620469083254,0.7241938389479383,-1.422174840085289,1.8365710628984413,-0.8933901918976561
0.2450331660020897,-0.41577825159914816,0.8143214749527452,-1.5543710021321973,2.0902405644270097,-0.6034115138592768
0.3440660147290924,-0.7825159914712163,0.9149030563270841,-1.6140724946695104,2.2223775734908617,-0.40724946695096076
0.40326201813845763,-1.046908315565033,0.9854564324835913,-1.626865671641792,2.334101425855767,-0.25799573560767763
0.5028971517838663,-1.2942430703624743,1.0663131827800285,-1.5970149253731347,2.5269831709763224,-0.019189765458424102
0.5828289645270335,-1.447761194029852,1.1677121508293506,-1.494669509594884,2.658732996878337,0.10021321961620266
0.6427348037330933,-1.571428571428572,1.2591734177249236,-1.3624733475479758,2.800485054461074,0.20255863539445418
0.7330560313188172,-1.6652452025586366,1.3917191201262664,-1.0852878464818771,2.9218024451692166,0.25373134328357994
0.8236353810124317,-1.7078891257995754,1.514068999265966,-0.8294243070362484,3.0329455227913744,0.28784648187633
0.904406090606237,-1.6950959488272939,1.626373626373626,-0.5650319829424322,3.1440025597109074,0.3049040511727057
0.9651293164872801,-1.6567164179104483,1.7488310563916158,-0.28784648187633444,3.2549520457521464,0.300639658848612
1.0971157543215266,-1.4904051172707904,1.8200942683448194,-0.15991471215351982,3.3759467838254213,0.28784648187633044
1.2907718657657465,-1.0980810234541587,1.8914435210006566,-0.014925373134329956,3.4767219567806826,0.26652452025586104
1.4338145338879382,-0.7398720682302788,1.972751984985896,0.10447761194029681,3.778939924768162,0.18123667377398522
1.5664677871675678,-0.44136460554371126,2.074301524264822,0.23667377398720557,4.071091130547947,0.10021321961620266
1.6278363183183355,-0.27505330490405244,2.206094370518155,0.3646055437100193,4.31299456599187,0.05756929637526431
1.7399043334937652,-0.05756929637526831,2.418442824608718,0.4626865671641769,4.544874259579419,0.02771855010660751
1.8112535861495953,0.08742004264392111,2.5496118757679795,0.4669509594882708,4.776818483693939,0.010660980810231813
1.9027793835721383,0.23240938166311143,2.7107661117937614,0.4157782515991453,5.089533417402269,0.006396588486138111
2.0041783516214657,0.33475479744136294,2.9524114251298013,0.32196162046908094,6.01763296649521,0.0021321961620444085
2.1156010615271743,0.4243070362473338,3.244218468099067,0.17270788912579782,,
2.2268301798519516,0.4754797441364593,3.5463719055595746,0.07462686567163956,,
2.3681520339215467,0.4925373134328337,3.939534896226844,0.01918976545841966,,
2.539437562682,0.44989339019189534,4.625472887767971,0.006396588486138111,,
2.710486479510214,0.36034115138592515,6.017611456319557,-0.0021321961620497376,,
2.881599926865409,0.2835820895522363,,,,
3.1332044515308546,0.16417910447760997,,,,
3.374892785218208,0.07889125799573327,,,,
3.5765076616556915,0.04904051172707691,,,,
4.08074919941815,0.014925373134325959,,,,
4.504392108992059,0.0021321961620444085,,,,
5.250924265360281,0.0021321961620444085,,,,
6.007544694111864,0.0021321961620444085,,,,
